approach,model_name,accuracy,rush_precision,rush_recall,rush_f1_score,pass_precision,pass_recall,pass_f1_score
2025-07-28_19-17-28,RF,0.7283142389525368,0.7066666666666667,0.7806873977086743,0.7418351477449455,0.7550274223034735,0.6759410801963993,0.7132987910189983
2025-07-28_21-58-10,GCN,0.7483624454148472,0.7215189873417721,0.8089519650655022,0.7627380339680906,0.782608695652174,0.6877729257641921,0.7321324811156305
2025-07-28_21-58-10,MLP,0.6664847161572053,0.6659412404787813,0.6681222707423581,0.6670299727520436,0.6670317634173056,0.6648471615720524,0.6659376708583926
2025-07-28_21-58-10,RF,0.7407205240174672,0.7220543806646526,0.7827510917030568,0.751178627553693,0.7628128724672228,0.6986899563318777,0.7293447293447294
2025-07-28_22-59-07,GCN,0.7298034934497817,0.684487291849255,0.8526200873362445,0.7593582887700535,0.804630969609262,0.6069868995633187,0.6919726197884256
2025-07-28_22-59-07,MLP,0.6473799126637555,0.641213389121339,0.6692139737991266,0.6549145299145299,0.6541095890410958,0.6255458515283843,0.6395089285714286
2025-07-28_22-59-07,RF,0.7232532751091703,0.7022749752720079,0.7751091703056768,0.7368967306694344,0.7490864799025578,0.6713973799126638,0.7081174438687392
2025-07-28_23-58-46,GCN,0.7308951965065502,0.6763969974979149,0.8853711790393013,0.766903073286052,0.8341232227488151,0.5764192139737991,0.6817301484828922
2025-07-28_23-58-46,MLP,0.6779475982532751,0.673036093418259,0.6921397379912664,0.682454251883746,0.6831460674157304,0.6637554585152838,0.6733111849390919
2025-07-28_23-58-46,RF,0.7270742358078602,0.7063492063492064,0.777292576419214,0.7401247401247402,0.7524271844660194,0.6768558951965066,0.7126436781609196
2025-07-29_00-55-21,GCN,0.7581877729257642,0.7285024154589372,0.8231441048034934,0.7729369554074833,0.7967377666248432,0.6932314410480349,0.7413893753648569
2025-07-29_00-55-21,MLP,0.6593886462882096,0.6607929515418502,0.6550218340611353,0.6578947368421053,0.658008658008658,0.6637554585152838,0.6608695652173913
2025-07-29_00-55-21,RF,0.7243449781659389,0.7048853439680958,0.7718340611353712,0.7368421052631579,0.7478890229191797,0.6768558951965066,0.7106017191977078
2025-07-29_01-45-50,GCN,0.7450873362445415,0.7152444870565676,0.8144104803493449,0.7616130678917815,0.7845373891001267,0.675764192139738,0.726099706744868
2025-07-29_01-45-50,MLP,0.6599344978165939,0.656350053361793,0.6713973799126638,0.6637884511602806,0.6636871508379888,0.648471615720524,0.6559911651021535
2025-07-29_01-45-50,RF,0.7259825327510917,0.7082494969818913,0.7685589519650655,0.7371727748691099,0.747016706443914,0.6834061135371179,0.7137970353477765
2025-07-29_02-18-45,GCN,0.7570960698689956,0.7035436473638721,0.888646288209607,0.7853352629040039,0.8488888888888889,0.6255458515283843,0.7203016970458831
2025-07-29_02-18-45,MLP,0.6664847161572053,0.6659412404787813,0.6681222707423581,0.6670299727520436,0.6670317634173056,0.6648471615720524,0.6659376708583926
2025-07-29_02-18-45,RF,0.7407205240174672,0.7220543806646526,0.7827510917030568,0.751178627553693,0.7628128724672228,0.6986899563318777,0.7293447293447294
2025-07-29_02-43-41,GCN,0.7603711790393013,0.7154471544715447,0.8646288209606987,0.7829955511616411,0.8289655172413793,0.6561135371179039,0.732480195003047
2025-07-29_02-43-41,MLP,0.6905021834061136,0.6894679695982627,0.6932314410480349,0.6913445835601524,0.6915477497255763,0.6877729257641921,0.6896551724137931
2025-07-29_02-43-41,RF,0.7237991266375546,0.7017716535433071,0.7783842794759825,0.7380952380952381,0.7512254901960784,0.6692139737991266,0.707852193995381
2025-07-29_02-48-26,GCN,0.7123362445414847,0.6527886881382561,0.9072052401746724,0.7592507994518045,0.8479427549194991,0.517467248908297,0.6427118644067796
2025-07-29_02-48-26,MLP,0.6473799126637555,0.641213389121339,0.6692139737991266,0.6549145299145299,0.6541095890410958,0.6255458515283843,0.6395089285714286
2025-07-29_02-48-26,RF,0.7232532751091703,0.7022749752720079,0.7751091703056768,0.7368967306694344,0.7490864799025578,0.6713973799126638,0.7081174438687392
2025-07-29_03-19-29,GCN,0.7505458515283843,0.7088262056414922,0.8504366812227074,0.7732009925558313,0.8130968622100955,0.6506550218340611,0.7228623408126137
2025-07-29_03-19-29,MLP,0.6779475982532751,0.673036093418259,0.6921397379912664,0.682454251883746,0.6831460674157304,0.6637554585152838,0.6733111849390919
2025-07-29_03-19-29,RF,0.7270742358078602,0.7063492063492064,0.777292576419214,0.7401247401247402,0.7524271844660194,0.6768558951965066,0.7126436781609196
2025-07-29_03-35-19,GCN,0.7205240174672489,0.662379421221865,0.8995633187772926,0.762962962962963,0.8435374149659864,0.5414847161572053,0.6595744680851063
