strategy,trial,accuracy,hidden_channels,hidden_layers,learning_rate,warmup_epochs,down_sample,qb_link
QB-CLOSEST-,25,0.6806768558951966,256,1,0.002817124948175303,10,True,True
QB-CLOSEST-,26,0.6888646288209607,256,1,0.0011523868753509664,10,True,False
QB-CLOSEST-,27,0.49945414847161573,256,1,0.09902596415378292,10,True,False
QB-CLOSEST-,28,0.6637554585152838,128,1,0.003817908701646758,10,True,False
QB-CLOSEST-,29,0.6375545851528385,128,1,0.003814899965381812,10,True,True
QB-CLOSEST-,30,0.5005458515283843,256,1,0.015664146141754914,20,True,True
QB-CLOSEST-,31,0.6615720524017468,256,1,0.0017618722614561127,20,True,False
QB-CLOSEST-,32,0.709061135371179,256,1,0.0010263737148091285,10,True,True
QB-CLOSEST-,33,0.7008733624454149,256,1,0.0010516940518246482,10,True,True
QB-CLOSEST-,34,0.712882096069869,256,1,0.0010055816346601508,10,True,True
QB-CLOSEST-,35,0.6779475982532751,256,1,0.0023792049802496954,10,True,True
QB-CLOSEST-,36,0.6610262008733624,256,1,0.002522791715017811,10,True,True
QB-CLOSEST-,37,0.6041486603284356,256,2,0.0015969377368931718,10,False,True
QB-CLOSEST-,38,0.675885911840968,128,2,0.001567530758206104,10,False,True
QB-CLOSEST-,39,0.7061365600691444,128,1,0.001415517487829253,20,False,False
QB-CLOSEST-,40,0.6735807860262009,128,1,0.002964745090209229,20,True,False
QB-CLOSEST-,41,0.6713973799126638,128,1,0.0029872339957141064,30,True,False
QB-CLOSEST-,42,0.7188864628820961,256,1,0.0010136563781843564,10,True,True
QB-CLOSEST-,43,0.7030567685589519,256,1,0.0010590658427128887,10,True,True
QB-CLOSEST-,44,0.7063318777292577,256,1,0.0012535486905977393,10,True,True
QB-CLOSEST-,45,0.6741266375545851,256,1,0.0022185541365219155,10,True,True
QB-CLOSEST-,46,0.6834061135371179,256,1,0.0022440181473027073,10,True,True
QB-CLOSEST-,47,0.7079694323144105,256,1,0.001341934828544986,30,True,True
QB-CLOSEST-,48,0.709161624891962,256,1,0.001680006685635269,10,False,True
QB-CLOSEST-,49,0.6598962834917891,256,1,0.005067937967276318,10,False,True
QB-CLOSEST-,50,0.7074235807860262,128,1,0.0013675088780213127,30,True,False
QB-CLOSEST-,51,0.6965065502183406,128,1,0.0012573558295783881,30,True,False
QB-CLOSEST-,52,0.6943231441048034,256,1,0.0010837942415950553,10,True,True
QB-CLOSEST-,53,0.7036026200873362,256,1,0.0010412521044839372,10,True,True
QB-CLOSEST-,54,0.6730349344978166,256,1,0.0018375928128182815,10,True,True
QB-CLOSEST-,55,0.6877729257641921,256,1,0.0019517368918697282,10,True,True
QB-CLOSEST-,56,0.7057860262008734,256,1,0.0010018437820319777,10,True,True
QB-CLOSEST-,57,0.7112445414847162,128,1,0.0011916161272740315,10,True,True
QB-CLOSEST-,58,0.6910480349344978,128,1,0.0015429552636936083,10,True,False
QB-CLOSEST-,59,0.5,128,1,0.03595702106992735,10,True,False
QB-CLOSEST-,60,0.5,128,2,0.006324307682134163,10,True,True
