strategy,trial,accuracy,hidden_channels,hidden_layers,warmup_epochs
QB-CLOSEST-,60,0.6754537597234227,256,1,19
QB-CLOSEST-,61,0.6694036300777874,256,1,19
QB-CLOSEST-,62,0.6037165082108902,256,2,24
QB-CLOSEST-,63,0.6041486603284356,256,2,29
QB-CLOSEST-,64,0.682800345721694,256,1,29
QB-CLOSEST-,65,0.6045808124459809,32,1,24
QB-CLOSEST-,66,0.6845289541918755,256,1,26
QB-CLOSEST-,67,0.6434745030250648,256,1,26
QB-CLOSEST-,68,0.6214347450302506,256,1,26
QB-CLOSEST-,69,0.6707000864304236,256,1,28
QB-CLOSEST-,70,0.6616248919619706,256,1,22
QB-CLOSEST-,71,0.6348314606741573,256,1,24
QB-CLOSEST-,72,0.6555747623163354,256,1,24
QB-CLOSEST-,73,0.6750216076058773,256,1,27
QB-CLOSEST-,74,0.6361279170267934,64,1,27
QB-CLOSEST-,75,0.6400172860847018,64,1,23
QB-CLOSEST-,76,0.698789974070873,256,1,26
QB-CLOSEST-,77,0.634399308556612,256,1,26
QB-CLOSEST-,78,0.6568712186689715,256,1,26
QB-CLOSEST-,79,0.6486603284356093,256,1,28
QB-CLOSEST-,80,0.6663785652549697,256,1,29
QB-CLOSEST-,81,0.5881590319792567,256,4,29
QB-CLOSEST-,82,0.6849611063094209,256,1,30
QB-CLOSEST-,83,0.693171996542783,256,1,25
QB-CLOSEST-,84,0.6093344857389801,32,1,30
QB-CLOSEST-,85,0.6892826274848747,256,1,23
QB-CLOSEST-,86,0.6663785652549697,256,1,25
QB-CLOSEST-,87,0.6309420916162489,256,1,23
QB-CLOSEST-,88,0.6456352636127917,256,1,23
QB-CLOSEST-,89,0.662057044079516,256,1,21
QB-CLOSEST-,90,0.6694036300777874,256,1,22
QB-CLOSEST-,91,0.672428694900605,256,1,22
QB-CLOSEST-,92,0.6849611063094209,256,1,25
QB-CLOSEST-,93,0.6573033707865169,256,1,25
QB-CLOSEST-,94,0.6032843560933449,256,2,27
QB-CLOSEST-,95,0.6032843560933449,256,2,27
QB-CLOSEST-,96,0.6741573033707865,256,1,24
QB-CLOSEST-,97,0.6771823681936041,256,1,30
QB-CLOSEST-,98,0.6823681936041487,256,1,28
QB-CLOSEST-,99,0.6560069144338807,256,1,28
QB-CLOSEST-,100,0.6802074330164217,256,1,20
QB-CLOSEST-,101,0.6058772687986171,32,1,20
QB-CLOSEST-,102,0.6050129645635264,32,1,24
QB-CLOSEST-,103,0.6270527225583405,64,1,17
DELAUNAY,0,,128,1,9
DELAUNAY,1,,128,4,6
DELAUNAY,2,,256,4,10
DELAUNAY,3,,32,1,24
DELAUNAY,4,0.6041486603284356,128,4,16
DELAUNAY,5,0.6318063958513397,64,1,15
DELAUNAY,6,0.6041486603284356,64,4,24
DELAUNAY,7,0.6356957649092481,64,1,14
DELAUNAY,8,0.6041486603284356,64,2,10
DELAUNAY,9,0.6041486603284356,32,2,20
DELAUNAY,10,0.6041486603284356,32,1,22
DELAUNAY,11,0.6041486603284356,32,4,25
DELAUNAY,12,0.6041486603284356,128,4,12
DELAUNAY,13,0.6041486603284356,32,3,16
DELAUNAY,14,0.6041486603284356,32,2,28
DELAUNAY,15,0.6970613656006914,256,1,5
DELAUNAY,16,0.6171132238547969,64,1,6
DELAUNAY,17,0.6905790838375108,256,1,5
DELAUNAY,18,0.6806395851339672,256,1,5
DELAUNAY,19,0.6041486603284356,256,3,5
DELAUNAY,20,0.6041486603284356,256,2,9
DELAUNAY,21,0.6054451166810717,256,2,9
DELAUNAY,22,0.6840968020743302,256,1,9
DELAUNAY,23,0.6577355229040622,256,1,8
DELAUNAY,24,0.6041486603284356,256,3,12
DELAUNAY,25,0.6041486603284356,256,3,12
DELAUNAY,26,0.6694036300777874,256,1,7
DELAUNAY,27,0.6598962834917891,256,1,7
DELAUNAY,28,0.6495246326707,256,1,7
DELAUNAY,29,0.6067415730337079,256,2,5
DELAUNAY,30,0.5700086430423509,128,2,10
DELAUNAY,31,0.6560069144338807,128,1,10
DELAUNAY,32,0.6793431287813311,256,1,19
DELAUNAY,33,0.6715643906655142,256,1,19
DELAUNAY,34,0.6032843560933449,256,2,30
DELAUNAY,35,0.6037165082108902,256,2,30
DELAUNAY,36,0.648228176318064,256,1,5
DELAUNAY,37,0.6573033707865169,256,1,5
DELAUNAY,38,0.6318063958513397,256,1,5
DELAUNAY,39,0.6681071737251513,256,1,8
DELAUNAY,40,0.6598962834917891,128,1,8
DELAUNAY,41,0.634399308556612,64,1,14
DELAUNAY,42,0.648228176318064,64,1,11
DELAUNAY,43,0.632238547968885,64,1,11
DELAUNAY,44,0.6707000864304236,256,1,7
DELAUNAY,45,0.6032843560933449,256,2,14
DELAUNAY,46,0.6637856525496975,256,1,18
DELAUNAY,47,0.6884183232497839,256,1,17
DELAUNAY,48,0.6529818496110631,256,1,23
DELAUNAY,49,0.6024200518582541,32,1,16
DELAUNAY,50,0.6067415730337079,32,1,16
DELAUNAY,51,0.6037165082108902,256,2,25
DELAUNAY,52,0.6041486603284356,256,4,21
DELAUNAY,53,0.6041486603284356,128,4,6
DELAUNAY,54,0.6685393258426966,256,1,6
DELAUNAY,55,0.6823681936041487,256,1,6
DELAUNAY,56,0.6590319792566983,256,1,20
DELAUNAY,57,0.6685393258426966,256,1,9
DELAUNAY,58,0.6875540190146932,256,1,9
DELAUNAY,59,0.6793431287813311,256,1,6
DELAUNAY,60,0.6568712186689715,256,1,8
DELAUNAY,61,0.6050129645635264,32,1,13
DELAUNAY,62,0.6037165082108902,32,3,13
DELAUNAY,63,0.6041486603284356,256,2,9
DELAUNAY,64,0.665514261019879,256,1,7
DELAUNAY,65,0.6823681936041487,256,1,10
DELAUNAY,66,0.6793431287813311,256,1,6
DELAUNAY,67,0.6832324978392394,256,1,11
DELAUNAY,68,0.6780466724286949,256,1,10
DELAUNAY,69,0.6845289541918755,256,1,11
DELAUNAY,70,0.68971477960242,256,1,8
DELAUNAY,71,0.691875540190147,256,1,12
DELAUNAY,72,0.6041486603284356,128,2,8
DELAUNAY,73,0.6041486603284356,128,2,15
DELAUNAY,74,0.6287813310285221,64,1,15
DELAUNAY,75,0.6369922212618842,64,1,11
DELAUNAY,76,0.6681071737251513,256,1,12
DELAUNAY,77,0.6763180639585133,256,1,12
DELAUNAY,78,0.6815038893690579,256,1,17
DELAUNAY,79,0.6845289541918755,256,1,9
DELAUNAY,80,0.6728608470181504,256,1,9
DELAUNAY,81,0.6905790838375108,256,1,10
DELAUNAY,82,0.6840968020743302,256,1,13
DELAUNAY,83,0.6923076923076923,256,1,7
DELAUNAY,84,0.6629213483146067,256,1,7
DELAUNAY,85,0.6719965427830596,256,1,7
DELAUNAY,86,0.6815038893690579,256,1,5
DELAUNAY,87,0.6767502160760588,256,1,10
DELAUNAY,88,0.6434745030250648,256,1,8
DELAUNAY,89,0.6806395851339672,256,1,8
DELAUNAY,90,0.668971477960242,256,1,8
DELAUNAY,91,0.6650821089023337,256,1,5
DELAUNAY,92,0.6495246326707,256,1,5
DELAUNAY,93,0.6711322385479689,256,1,11
DELAUNAY,94,0.6439066551426103,256,1,26
DELAUNAY,95,0.6823681936041487,256,1,9
DELAUNAY,96,0.675885911840968,256,1,9
DELAUNAY,97,0.6041486603284356,256,3,9
DELAUNAY,98,0.6845289541918755,256,1,10
DELAUNAY,99,0.6715643906655142,256,1,10
DELAUNAY,100,0.6050129645635264,32,1,6
DELAUNAY,101,0.6084701815038893,32,1,6
DELAUNAY,102,0.6784788245462403,256,1,7
DELAUNAY,103,0.6745894554883319,256,1,7
GABRIEL,0,,256,3,9
GABRIEL,1,,256,1,15
GABRIEL,2,,64,3,26
GABRIEL,3,,128,1,13
GABRIEL,4,,64,4,20
GABRIEL,5,,32,1,13
GABRIEL,6,0.6672428694900605,256,1,22
GABRIEL,7,0.6041486603284356,256,3,17
GABRIEL,8,0.6352636127917026,64,1,11
GABRIEL,9,0.6041486603284356,64,3,30
GABRIEL,10,0.6339671564390665,64,1,26
GABRIEL,11,0.6041486603284356,64,4,22
GABRIEL,12,0.6041486603284356,32,3,21
GABRIEL,13,0.6525496974935178,256,1,15
GABRIEL,14,0.6041486603284356,32,3,26
GABRIEL,15,0.5989628349178912,64,1,17
GABRIEL,16,0.6041486603284356,256,3,8
GABRIEL,17,0.6041486603284356,128,2,7
GABRIEL,18,0.6041486603284356,256,2,13
GABRIEL,19,0.6037165082108902,256,2,12
GABRIEL,20,0.6698357821953328,256,1,13
GABRIEL,21,0.6806395851339672,256,1,20
GABRIEL,22,0.6568712186689715,128,1,20
GABRIEL,23,0.6041486603284356,128,2,20
GABRIEL,24,0.6041486603284356,256,4,10
GABRIEL,25,0.6037165082108902,256,2,10
GABRIEL,26,0.6041486603284356,256,4,15
GABRIEL,27,0.6015557476231633,32,1,14
GABRIEL,28,0.6797752808988764,256,1,24
GABRIEL,29,0.6745894554883319,256,1,25
GABRIEL,30,0.6832324978392394,256,1,25
GABRIEL,31,0.6032843560933449,256,2,25
GABRIEL,32,0.6923076923076923,256,1,24
GABRIEL,33,0.6780466724286949,256,1,29
GABRIEL,34,0.6041486603284356,256,2,30
GABRIEL,35,0.6041486603284356,32,2,28
GABRIEL,36,0.6132238547968885,32,1,23
GABRIEL,37,0.6780466724286949,256,1,19
GABRIEL,38,0.6875540190146932,256,1,23
GABRIEL,39,0.6840968020743302,256,1,23
GABRIEL,40,0.6849611063094209,256,1,23
GABRIEL,41,0.6793431287813311,256,1,27
GABRIEL,42,0.6866897147796024,256,1,23
GABRIEL,43,0.6464995678478824,128,1,23
GABRIEL,44,0.6607605877268798,128,1,23
GABRIEL,45,0.6041486603284356,64,2,22
GABRIEL,46,0.698789974070873,256,1,18
GABRIEL,47,0.6365600691443388,64,1,18
GABRIEL,48,0.6356957649092481,256,1,18
GABRIEL,49,0.6810717372515125,256,1,21
GABRIEL,50,0.6676750216076058,256,1,21
GABRIEL,51,0.6974935177182369,256,1,27
GABRIEL,52,0.6961970613656007,256,1,27
GABRIEL,53,0.6041486603284356,256,3,27
GABRIEL,54,0.6032843560933449,256,2,27
GABRIEL,55,0.6041486603284356,64,2,27
GABRIEL,56,0.6369922212618842,64,1,28
GABRIEL,57,0.6901469317199654,256,1,29
GABRIEL,58,0.6840968020743302,256,1,26
GABRIEL,59,0.6949006050129646,256,1,29
GABRIEL,60,0.68971477960242,256,1,30
GABRIEL,61,0.6845289541918755,256,1,29
GABRIEL,62,0.6521175453759723,256,1,29
GABRIEL,63,0.6132238547968885,32,1,29
GABRIEL,64,0.6041486603284356,256,3,28
GABRIEL,65,0.6071737251512532,32,1,26
GABRIEL,66,0.6041486603284356,128,2,26
GABRIEL,67,0.6041486603284356,256,4,16
GABRIEL,68,0.641313742437338,256,1,30
GABRIEL,69,0.6763180639585133,256,1,30
GABRIEL,70,0.6430423509075195,256,1,30
GABRIEL,71,0.6905790838375108,256,1,28
GABRIEL,72,0.6447709593777009,256,1,28
GABRIEL,73,0.6573033707865169,256,1,28
GABRIEL,74,0.675885911840968,256,1,25
GABRIEL,75,0.6732929991356957,256,1,25
GABRIEL,76,0.6923076923076923,256,1,5
GABRIEL,77,0.6754537597234227,256,1,24
GABRIEL,78,0.6771823681936041,256,1,5
GABRIEL,79,0.6802074330164217,256,1,6
GABRIEL,80,0.6871218668971478,256,1,11
GABRIEL,81,0.6374243733794296,256,1,10
GABRIEL,82,0.668971477960242,256,1,27
GABRIEL,83,0.6352636127917026,128,1,8
GABRIEL,84,0.651685393258427,128,1,9
GABRIEL,85,0.6577355229040622,256,1,29
GABRIEL,86,0.6629213483146067,256,1,29
GABRIEL,87,0.6037165082108902,256,2,14
GABRIEL,88,0.6840968020743302,256,1,28
GABRIEL,89,0.682800345721694,256,1,28
GABRIEL,90,0.6892826274848747,256,1,30
GABRIEL,91,0.6793431287813311,256,1,30
GABRIEL,92,0.6767502160760588,256,1,24
GABRIEL,93,0.632238547968885,64,1,24
GABRIEL,94,0.6391529818496111,64,1,27
GABRIEL,95,0.6037165082108902,32,1,26
GABRIEL,96,0.6845289541918755,256,1,26
GABRIEL,97,0.6041486603284356,256,3,16
GABRIEL,98,0.6732929991356957,256,1,29
GABRIEL,99,0.6888504753673294,256,1,29
GABRIEL,100,0.6793431287813311,256,1,30
GABRIEL,101,0.6711322385479689,256,1,30
GABRIEL,102,0.6715643906655142,256,1,27
GABRIEL,103,0.672428694900605,256,1,19
GABRIEL,104,0.6849611063094209,256,1,19
GABRIEL,105,0.6767502160760588,256,1,28
RNG,0,,32,4,10
RNG,1,,32,2,17
RNG,2,,32,1,30
RNG,3,,32,1,7
RNG,4,0.6041486603284356,32,4,12
RNG,5,0.6041486603284356,256,2,11
RNG,6,0.6041486603284356,256,3,9
RNG,7,0.6041486603284356,32,4,7
RNG,8,0.6041486603284356,64,2,24
RNG,9,0.6434745030250648,64,1,23
RNG,10,0.6041486603284356,256,3,5
RNG,11,0.6041486603284356,32,3,5
RNG,12,0.6037165082108902,32,3,25
RNG,13,0.6041486603284356,32,2,5
RNG,14,0.6041486603284356,64,2,12
RNG,15,0.6387208297320657,64,1,30
RNG,16,0.6568712186689715,128,1,18
RNG,17,0.6382886776145204,128,1,29
RNG,18,0.6374243733794296,128,1,18
RNG,19,0.6551426101987899,128,1,17
RNG,20,0.6421780466724287,128,1,18
RNG,21,0.6391529818496111,128,1,16
RNG,22,0.6616248919619706,128,1,15
RNG,23,0.6041486603284356,128,2,15
RNG,24,0.6041486603284356,128,2,21
RNG,25,0.6041486603284356,128,2,20
RNG,26,0.6313742437337942,128,1,20
RNG,27,0.6542783059636992,128,1,14
RNG,28,0.6577355229040622,128,1,15
RNG,29,0.6594641313742438,128,1,17
RNG,30,0.642610198789974,128,1,14
RNG,31,0.6447709593777009,128,1,14
RNG,32,0.6041486603284356,128,2,9
RNG,33,0.6041486603284356,128,2,10
RNG,34,0.6041486603284356,256,4,11
RNG,35,0.6041486603284356,256,4,13
RNG,36,0.6490924805531547,128,1,19
RNG,37,0.6508210890233362,128,1,16
RNG,38,0.6521175453759723,128,1,16
RNG,39,0.6421780466724287,128,1,22
RNG,40,0.658599827139153,128,1,21
RNG,41,0.6076058772687987,128,1,26
RNG,42,0.6201382886776146,64,1,12
RNG,43,0.6041486603284356,64,2,23
RNG,44,0.6041486603284356,256,3,23
RNG,45,0.6041486603284356,32,3,27
RNG,46,0.6076058772687987,32,1,19
RNG,47,0.6382886776145204,128,1,19
RNG,48,0.6421780466724287,128,1,17
RNG,49,0.6443388072601556,128,1,17
RNG,50,0.6382886776145204,128,1,20
RNG,51,0.6041486603284356,128,2,21
RNG,52,0.6037165082108902,256,2,15
RNG,53,0.6879861711322386,256,1,13
RNG,54,0.6058772687986171,32,1,18
RNG,55,0.6702679343128781,256,1,8
RNG,56,0.6685393258426966,256,1,13
RNG,57,0.6408815903197925,256,1,12
RNG,58,0.6953327571305099,256,1,7
RNG,59,0.6607605877268798,256,1,7
RNG,60,0.658599827139153,256,1,7
RNG,61,0.6745894554883319,256,1,6
RNG,62,0.6741573033707865,256,1,7
RNG,63,0.6629213483146067,256,1,6
RNG,64,0.6776145203111495,256,1,6
RNG,65,0.6028522039757995,256,2,8
RNG,66,0.6642178046672429,256,1,8
RNG,67,0.6750216076058773,256,1,5
RNG,68,0.6892826274848747,256,1,5
RNG,69,0.6279170267934313,256,1,5
RNG,70,0.6629213483146067,256,1,6
RNG,71,0.6763180639585133,256,1,6
RNG,72,0.6495246326707,256,1,5
RNG,73,0.6551426101987899,256,1,5
RNG,74,0.6840968020743302,256,1,6
RNG,75,0.6430423509075195,256,1,6
RNG,76,0.6793431287813311,256,1,6
RNG,77,0.6802074330164217,256,1,9
RNG,78,0.6905790838375108,256,1,9
RNG,79,0.6793431287813311,256,1,9
RNG,80,0.6568712186689715,256,1,10
RNG,81,0.6041486603284356,256,3,10
RNG,82,0.6905790838375108,256,1,9
RNG,83,0.668971477960242,256,1,9
RNG,84,0.6361279170267934,64,1,11
RNG,85,0.6041486603284356,64,2,11
RNG,86,0.668971477960242,256,1,9
RNG,87,0.662057044079516,256,1,8
RNG,88,0.6041486603284356,256,4,9
RNG,89,0.6767502160760588,256,1,10
RNG,90,0.6374243733794296,256,1,7
RNG,91,0.6737251512532412,256,1,7
RNG,92,0.6287813310285221,256,1,8
RNG,93,0.6672428694900605,256,1,8
RNG,94,0.6387208297320657,256,1,10
RNG,95,0.6037165082108902,32,1,11
RNG,96,0.6832324978392394,256,1,6
RNG,97,0.682800345721694,256,1,7
RNG,98,0.6737251512532412,256,1,7
RNG,99,0.6573033707865169,256,1,7
RNG,100,0.6598962834917891,256,1,5
RNG,101,0.6668107173725151,256,1,5
RNG,102,0.6914433880726015,256,1,6
RNG,103,0.672428694900605,256,1,6
MST,0,,256,1,11
MST,1,,32,4,28
MST,2,,64,2,22
MST,3,,256,3,10
MST,4,,256,1,10
MST,5,,32,2,28
MST,6,0.6058772687986171,32,1,30
MST,7,0.6041486603284356,128,2,6
MST,8,0.6041486603284356,128,4,26
MST,9,0.6041486603284356,64,4,24
MST,10,0.6041486603284356,64,2,14
MST,11,0.6041486603284356,64,2,21
MST,12,0.6041486603284356,64,2,30
MST,13,0.6041486603284356,32,4,29
MST,14,0.675885911840968,256,1,8
MST,15,0.6041486603284356,32,4,21
MST,16,0.6041486603284356,64,4,27
MST,17,0.6832324978392394,256,1,5
MST,18,0.6879861711322386,256,1,12
MST,19,0.6750216076058773,256,1,5
MST,20,0.6789109766637856,256,1,11
MST,21,0.6629213483146067,256,1,12
MST,22,0.6041486603284356,256,3,14
MST,23,0.6041486603284356,256,3,10
MST,24,0.6041486603284356,256,3,9
MST,25,0.6806395851339672,256,1,17
MST,26,0.6715643906655142,256,1,18
MST,27,0.6041486603284356,128,2,7
MST,28,0.665514261019879,256,1,16
MST,29,0.6853932584269663,256,1,16
MST,30,0.675885911840968,256,1,18
MST,31,0.6037165082108902,256,2,13
